Days,Effective Precipitation (mm/day),Evapotranspiration (mm/day),Actual Evapotranspiration (mm/day),Storage (mm),Runoff (mm/day),Runoff in Area (m^3/day)
625,12.100000,23.517000,1.649193,262.086831,0.262164,271156.650467
626,0.000000,31.473000,3.010936,261.824929,0.302511,312886.959740
627,0.000000,20.826000,1.829221,261.563104,0.261825,270805.524077
628,0.000000,19.305000,1.603749,261.301541,0.261563,270534.718553
629,0.000000,14.742000,1.163169,261.040239,0.261302,270264.183834
630,0.000000,16.146000,1.225084,260.779199,0.261040,269993.919651
631,8.600000,13.806000,1.003531,260.536081,0.260779,269723.925731
632,0.000000,16.965000,1.547811,260.275563,0.264404,273472.966722
633,5.000000,21.411000,1.867221,260.015287,0.260276,269203.014717
634,14.300000,12.168000,1.149986,260.318996,0.260015,268933.811702
635,3.900000,13.923000,1.755480,260.305126,0.383774,396937.938575
636,0.000000,18.486000,2.416158,260.045180,0.339060,350689.277522
637,28.100000,20.943000,2.605639,261.964713,0.260045,268964.730135
638,0.500000,16.263000,2.990843,261.294854,0.739292,764649.960385
639,0.000000,12.753000,2.260386,260.744587,0.550266,569140.224344
640,0.000000,23.517000,4.029931,260.356995,0.387592,400886.568504
641,0.000000,10.296000,1.656395,260.096640,0.260748,269691.759756
642,0.000000,26.559000,4.158287,259.836543,0.260097,269017.954816
643,0.000000,16.848000,2.455579,259.576707,0.259837,268748.936861
644,0.000000,23.985000,3.342553,259.317130,0.259577,268480.187924
645,0.000000,22.932000,2.996377,259.057813,0.259317,268211.707736
646,0.700000,11.700000,1.437552,258.798755,0.259058,267943.496028
647,0.000000,10.530000,1.271818,258.539956,0.258799,267675.552532
648,0.000000,6.318000,0.742185,258.281417,0.258540,267407.876980
649,0.000000,9.711000,1.122013,258.023135,0.258281,267140.469103
650,1.400000,15.678000,1.765676,257.765112,0.258023,266873.328634
651,3.200000,15.795000,1.758956,257.507347,0.257765,266606.455305
652,0.500000,17.316000,1.981198,257.249840,0.257507,266339.848850
653,0.000000,11.934000,1.318095,256.992590,0.257250,266073.509001
654,2.500000,20.241000,2.166178,256.735597,0.256993,265807.435492
655,0.000000,8.424000,0.904443,256.478861,0.256736,265541.628056
656,6.800000,12.285000,1.290071,256.308569,0.256479,265276.086428
657,0.000000,10.881000,1.283440,256.052346,0.275183,284622.066287
658,0.500000,7.488000,0.858224,255.796294,0.256052,264834.941604
659,0.100000,2.925000,0.332190,255.540497,0.255796,264570.106662
660,0.000000,5.850000,0.660716,255.284957,0.255540,264305.536556
661,15.900000,6.318000,0.702712,255.908328,0.255285,264041.231019
662,1.100000,4.212000,0.620456,255.582076,0.448334,463711.800541
663,5.800000,7.488000,1.109998,255.803463,0.333860,345311.532681
664,0.200000,5.382000,0.854413,255.521525,0.360181,372535.543680
665,0.200000,5.031000,0.789811,255.266003,0.255522,264285.913211
666,0.000000,7.605000,1.181761,255.010737,0.255266,264021.627298
667,0.000000,3.510000,0.534636,254.755727,0.255011,263757.605671
668,0.000000,4.095000,0.618046,254.500971,0.254756,263493.848065
669,0.600000,8.307000,1.240393,254.246470,0.254501,263230.354217
670,4.100000,9.477000,1.397641,253.997790,0.254246,262967.123863
671,2.500000,12.870000,1.973265,253.743798,0.255217,263970.744600
672,0.000000,4.446000,0.684424,253.490054,0.253744,262447.209800
673,0.000000,11.349000,1.726874,253.236564,0.253490,262184.762590
674,0.000000,13.104000,1.935041,252.983327,0.253237,261922.577827
675,2.800000,7.371000,1.051351,252.730344,0.252983,261660.655249
676,2.800000,12.285000,1.798529,252.477613,0.252730,261398.994594
677,0.000000,12.519000,1.855347,252.225136,0.252478,261137.595599
